macModule,rssi,hourMinute
C45BBE384CD2,-71,9h28
C45BBE384CD2,-64,9h28
C45BBE386362,-77,9h28
C45BBE37B346,-79,9h28
C45BBE39F56A,-60,9h28
C45BBE386952,-76,9h28
C45BBE37B346,-80,9h28
C45BBE39F56A,-63,9h28
C45BBE384CD2,-64,9h28
C45BBE386952,-79,9h28
C45BBE386362,-78,9h28
C45BBE386952,-77,9h28
C45BBE37B346,-79,9h28
C45BBE39F56A,-63,9h28
C45BBE386362,-78,9h28
C45BBE384CD2,-63,9h28
C45BBE386952,-78,9h28
C45BBE386362,-77,9h28
C45BBE384CD2,-73,9h28
C45BBE39F56A,-70,9h28
C45BBE386952,-72,9h28
C45BBE37B346,-79,9h28
C45BBE386362,-73,9h29
C45BBE384CD2,-69,9h29
C45BBE39F56A,-62,9h29
C45BBE37B346,-79,9h29
C45BBE384CD2,-78,9h29
C45BBE386362,-73,9h29
C45BBE386952,-74,9h29
C45BBE39F56A,-62,9h29
C45BBE386362,-75,9h29
C45BBE37B346,-78,9h29
C45BBE384CD2,-69,9h29
C45BBE39F56A,-67,9h29
C45BBE386952,-77,9h29
C45BBE384CD2,-64,9h29
C45BBE39F56A,-61,9h29
C45BBE386362,-74,9h29
C45BBE386952,-75,9h29
C45BBE37B346,-80,9h29
C45BBE37B346,-80,9h29
C45BBE384CD2,-63,9h29
C45BBE386362,-80,9h29
C45BBE39F56A,-65,9h29
C45BBE386952,-74,9h29
C45BBE37B346,-79,9h29
C45BBE386362,-77,9h29
C45BBE39F56A,-63,9h29
C45BBE386952,-77,9h29
C45BBE384CD2,-71,9h29
C45BBE37B346,-79,9h29
C45BBE39F56A,-76,9h30
C45BBE386952,-75,9h30
C45BBE384CD2,-73,9h30
C45BBE386362,-79,9h30
C45BBE386362,-77,9h30
C45BBE384CD2,-73,9h30
C45BBE39F56A,-68,9h30
C45BBE386952,-78,9h30
C45BBE384CD2,-67,9h30
C45BBE386362,-78,9h30
C45BBE39F56A,-80,9h30
C45BBE386362,-78,9h30
C45BBE384CD2,-68,9h30
C45BBE37B346,-80,9h30
C45BBE386952,-68,9h30
C45BBE39F56A,-66,9h30
C45BBE384CD2,-68,9h30
C45BBE37B346,-76,9h30
C45BBE386952,-68,9h30
C45BBE39F56A,-69,9h30
C45BBE386362,-78,9h30
C45BBE386952,-77,9h30
C45BBE39F56A,-80,9h30
C45BBE386362,-78,9h30
C45BBE384CD2,-63,9h30
C45BBE386952,-71,9h30
C45BBE39F56A,-65,9h30
C45BBE37B346,-80,9h31
C45BBE386362,-72,9h31
C45BBE384CD2,-77,9h31
C45BBE386362,-70,9h31
C45BBE39F56A,-70,9h31
C45BBE384CD2,-69,9h31
C45BBE386952,-72,9h31
C45BBE39F56A,-76,9h31
C45BBE386952,-74,9h31
C45BBE37B346,-79,9h31
C45BBE386362,-63,9h31
C45BBE384CD2,-64,9h31
C45BBE39F56A,-78,9h31
C45BBE384CD2,-77,9h31
C45BBE386362,-71,9h31
C45BBE384CD2,-69,9h31
C45BBE386362,-72,9h31
C45BBE39F56A,-79,9h31
C45BBE386952,-80,9h31
C45BBE386362,-79,9h31
C45BBE39F56A,-80,9h31
C45BBE384CD2,-65,9h31
C45BBE386952,-74,9h31
C45BBE386362,-80,9h32
C45BBE384CD2,-71,9h32
C45BBE39F56A,-69,9h32
C45BBE386952,-80,9h32
C45BBE39F56A,-74,9h32
C45BBE384CD2,-72,9h32
C45BBE386362,-75,9h32
C45BBE384CD2,-70,9h32
C45BBE39F56A,-76,9h32
C45BBE386362,-73,9h32
C45BBE384CD2,-66,9h32
